jns_karantina;komoditas;Satuan;Harga;komsat
H;Jerohan Sapi;gram;20000;Jerohan Sapi/gram
H;Jerohan Sapi;kilogram;50000;Jerohan Sapi/kilogram
H;Jerohan Sapi;ton;20000;Jerohan Sapi/ton
H;Kambing;ekor;30000;Kambing/ekor
H;Kasein;kilogram;50000;Kasein/kilogram
H;Katak;ekor;30000;Katak/ekor
H;Keju;bag;20000;Keju/bag
H;Keju;carton;20000;Keju/carton
H;Keju;kemasan;20000;Keju/kemasan
H;Keju;kilogram;50000;Keju/kilogram
H;Keju;ton;20000;Keju/ton
H;Keju Parut;kilogram;50000;Keju Parut/kilogram
H;Kelinci;ekor;30000;Kelinci/ekor
H;Kelinci Percobaan;ekor;30000;Kelinci Percobaan/ekor
H;Kepompong;ekor;30000;Kepompong/ekor
H;Kepompong;KOLONI;20000;Kepompong/KOLONI
H;Kera Percobaan;ekor;30000;Kera Percobaan/ekor
H;Kerbau;ekor;30000;Kerbau/ekor
H;Kerbau;kilogram;50000;Kerbau/kilogram
H;Komodo;ekor;30000;Komodo/ekor
H;Kucing;ekor;30000;Kucing/ekor
H;Kucing;kilogram;50000;Kucing/kilogram
H;Kuda;ekor;30000;Kuda/ekor
H;Kulit Babi Kering;kilogram;50000;Kulit Babi Kering/kilogram
H;Kulit Hewan Besar Lainnya;kilogram;50000;Kulit Hewan Besar Lainnya/kilogram
H;Kulit Hewan Besar Lainnya;lembar;20000;Kulit Hewan Besar Lainnya/lembar
H;Kulit Hewan Kecil Lainnya;kilogram;50000;Kulit Hewan Kecil Lainnya/kilogram
H;Kulit Hewan Kecil Lainnya;lembar;20000;Kulit Hewan Kecil Lainnya/lembar
H;Kulit Kambing;kilogram;50000;Kulit Kambing/kilogram
H;Kulit Kambing Basah;kilogram;50000;Kulit Kambing Basah/kilogram
H;Kulit Kambing Jadi;gram;20000;Kulit Kambing Jadi/gram
H;Kulit Kambing Jadi;kilogram;50000;Kulit Kambing Jadi/kilogram
H;Kulit Kambing Kering;kilogram;50000;Kulit Kambing Kering/kilogram
H;Kulit Kambing Kering;lembar;20000;Kulit Kambing Kering/lembar
H;Kulit Reptil Kecil Lainnya;kilogram;50000;Kulit Reptil Kecil Lainnya/kilogram
H;Kulit Reptil Kecil Lainnya;lembar;20000;Kulit Reptil Kecil Lainnya/lembar
H;Kulit Reptil Kering;kilogram;50000;Kulit Reptil Kering/kilogram
H;Kulit Reptil Kering;lembar;20000;Kulit Reptil Kering/lembar
H;Kulit Sapi;kilogram;50000;Kulit Sapi/kilogram
H;Kulit Sapi Basah;kilogram;50000;Kulit Sapi Basah/kilogram
H;Kulit Sapi Jadi;box;20000;Kulit Sapi Jadi/box
H;Kulit Sapi Jadi;kilogram;50000;Kulit Sapi Jadi/kilogram
H;Kulit Sapi Kering;gram;20000;Kulit Sapi Kering/gram
H;Kulit Sapi Kering;kilogram;50000;Kulit Sapi Kering/kilogram
H;Kulit Ular Kering;kemasan;20000;Kulit Ular Kering/kemasan
H;Kulit Ular Kering;kilogram;50000;Kulit Ular Kering/kilogram
H;Kulit Ular Kering;lembar;20000;Kulit Ular Kering/lembar
H;Kupu-kupu;ekor;30000;Kupu-kupu/ekor
H;Lebah;kilogram;50000;Lebah/kilogram
H;Lidah;kilogram;50000;Lidah/kilogram
H;Madu;gram;20000;Madu/gram
H;Madu;kilogram;50000;Madu/kilogram
H;Madu;liter;20000;Madu/liter
H;Mamalia Besar yang termasuk Satwa Liar Lainnya;ekor;30000;Mamalia Besar yang termasuk Satwa Liar Lainnya/ekor
H;Mamalia Kecil yang termasuk Satwa Liar Lainnya;ekor;30000;Mamalia Kecil yang termasuk Satwa Liar Lainnya/ekor
H;Materi Reproduksi Lainnya;ekor;30000;Materi Reproduksi Lainnya/ekor
H;Materi Reproduksi Lainnya;kemasan;20000;Materi Reproduksi Lainnya/kemasan
H;Materi Reproduksi Lainnya;kilogram;50000;Materi Reproduksi Lainnya/kilogram
H;Mentega;kilogram;50000;Mentega/kilogram
H;Mentega;ton;20000;Mentega/ton
H;Merak;ekor;30000;Merak/ekor
H;Nuri (Sebangsanya);ekor;30000;Nuri (Sebangsanya)/ekor
H;Olahan Daging Babi;kilogram;50000;Olahan Daging Babi/kilogram
H;Pakan Hewan Kesayangan;bag;20000;Pakan Hewan Kesayangan/bag
H;Pakan Hewan Kesayangan;box;20000;Pakan Hewan Kesayangan/box
H;Pakan Hewan Kesayangan;carton;20000;Pakan Hewan Kesayangan/carton
H;Pakan Hewan Kesayangan;gram;20000;Pakan Hewan Kesayangan/gram
H;Pakan Hewan Kesayangan;kemasan;20000;Pakan Hewan Kesayangan/kemasan
H;Pakan Hewan Kesayangan;kilogram;50000;Pakan Hewan Kesayangan/kilogram
H;Pakan Hewan Kesayangan;ton;20000;Pakan Hewan Kesayangan/ton
H;Pakan Ternak;bag;20000;Pakan Ternak/bag
H;Pakan Ternak;botol;20000;Pakan Ternak/botol
H;Pakan Ternak;box;20000;Pakan Ternak/box
H;Pakan Ternak;gram;20000;Pakan Ternak/gram
H;Pakan Ternak;kilogram;50000;Pakan Ternak/kilogram
H;Pakan Ternak;liter;20000;Pakan Ternak/liter
H;Pakan Ternak;ton;20000;Pakan Ternak/ton
H;Produk Hewan Lainnya;box;20000;Produk Hewan Lainnya/box
H;Produk Hewan Lainnya;ekor;30000;Produk Hewan Lainnya/ekor
H;Produk Hewan Lainnya;gram;20000;Produk Hewan Lainnya/gram
H;Produk Hewan Lainnya;kilogram;50000;Produk Hewan Lainnya/kilogram
H;Produk Olahan Daging Hewan Lainnya;gram;20000;Produk Olahan Daging Hewan Lainnya/gram
H;Produk Olahan Daging Hewan Lainnya;kilogram;50000;Produk Olahan Daging Hewan Lainnya/kilogram
H;Produk Olahan Daging Unggas Lainnya;kemasan;20000;Produk Olahan Daging Unggas Lainnya/kemasan
H;Produk Olahan Daging Unggas Lainnya;kilogram;50000;Produk Olahan Daging Unggas Lainnya/kilogram
H;Produk Olahan Susu Lainnya;kilogram;50000;Produk Olahan Susu Lainnya/kilogram
H;Produk Olahan Susu Lainnya;ton;20000;Produk Olahan Susu Lainnya/ton
H;Produk Olahan Telur Lainnya;kilogram;50000;Produk Olahan Telur Lainnya/kilogram
H;Produk Sampingan Hewan Lainnya;kilogram;50000;Produk Sampingan Hewan Lainnya/kilogram
H;Produk Sampingan Lainnya;gram;20000;Produk Sampingan Lainnya/gram
H;Produk Sampingan Lainnya;kemasan;20000;Produk Sampingan Lainnya/kemasan
H;Produk Sampingan Lainnya;kilogram;50000;Produk Sampingan Lainnya/kilogram
H;Reptil Besar yang termasuk Satwa Liar Lainnya;ekor;30000;Reptil Besar yang termasuk Satwa Liar Lainnya/ekor
H;Reptil Kecil yang termasuk Satwa Liar Lainnya;ekor;30000;Reptil Kecil yang termasuk Satwa Liar Lainnya/ekor
H;Sapi;ekor;30000;Sapi/ekor
H;Sapi;kilogram;50000;Sapi/kilogram
H;Sarang Burung Walet;gram;20000;Sarang Burung Walet/gram
H;Sarang Burung Walet;kilogram;50000;Sarang Burung Walet/kilogram
H;Semen Beku;kemasan;20000;Semen Beku/kemasan
H;Semen Beku;kilogram;50000;Semen Beku/kilogram
H;Serangga (berkoloni) Lainnya;ekor;30000;Serangga (berkoloni) Lainnya/ekor
H;Serangga (berkoloni) Lainnya;kilogram;50000;Serangga (berkoloni) Lainnya/kilogram
H;Serangga (berkoloni) Lainnya;KOLONI;20000;Serangga (berkoloni) Lainnya/KOLONI
H;Singa;ekor;30000;Singa/ekor
H;Susu Hewan Lainnya;kilogram;50000;Susu Hewan Lainnya/kilogram
H;Susu Kambing;kilogram;50000;Susu Kambing/kilogram
H;Susu Sapi;gram;20000;Susu Sapi/gram
H;Susu Sapi;kilogram;50000;Susu Sapi/kilogram
H;Susu Sapi;liter;20000;Susu Sapi/liter
H;Susu Sapi;ton;20000;Susu Sapi/ton
H;Tanduk;buah/butir/batang;20000;Tanduk/buah/butir/batang
H;Tanduk;kilogram;50000;Tanduk/kilogram
H;Telur Ayam;buah/butir/batang;20000;Telur Ayam/buah/butir/batang
H;Telur Ayam;kemasan;20000;Telur Ayam/kemasan
H;Telur Ayam;kilogram;50000;Telur Ayam/kilogram
H;Telur Bebek / Itik;kilogram;50000;Telur Bebek / Itik/kilogram
H;Telur Burung Puyuh;kilogram;50000;Telur Burung Puyuh/kilogram
H;Telur SPF;buah/butir/batang;20000;Telur SPF/buah/butir/batang
H;Telur SPF;kilogram;50000;Telur SPF/kilogram
H;Telur Tetas;buah/butir/batang;20000;Telur Tetas/buah/butir/batang
H;Telur Tetas Lainnya;kilogram;50000;Telur Tetas Lainnya/kilogram
H;Tepung Hewan;kilogram;50000;Tepung Hewan/kilogram
H;Tepung Hewan;ton;20000;Tepung Hewan/ton
H;Tepung Unggas;gram;20000;Tepung Unggas/gram
H;Tepung Unggas;kilogram;50000;Tepung Unggas/kilogram
H;Tepung Unggas;ton;20000;Tepung Unggas/ton
H;Tikus Percobaan;ekor;30000;Tikus Percobaan/ekor
H;Tokek;ekor;30000;Tokek/ekor
H;Transglutaminase;box;20000;Transglutaminase/box
H;Transglutaminase;kemasan;20000;Transglutaminase/kemasan
H;Transglutaminase;kilogram;50000;Transglutaminase/kilogram
H;Tulang;kemasan;20000;Tulang/kemasan
H;Tulang;kilogram;50000;Tulang/kilogram
H;Ular Kobra;ekor;30000;Ular Kobra/ekor
H;Ular Pucuk;ekor;30000;Ular Pucuk/ekor
H;Ular Sanca;ekor;30000;Ular Sanca/ekor
H;Ulat;kilogram;50000;Ulat/kilogram
H;Unggas Besar Kesayangan;ekor;30000;Unggas Besar Kesayangan/ekor
H;Unggas Besar Ternak Lainnya;kilogram;50000;Unggas Besar Ternak Lainnya/kilogram
H;Unggas Kecil Kesayangan Lainnya;ekor;30000;Unggas Kecil Kesayangan Lainnya/ekor
H;Unggas Kecil Ternak Lainnya;ekor;30000;Unggas Kecil Ternak Lainnya/ekor
H;Unggas Kecil Ternak Lainnya;kilogram;50000;Unggas Kecil Ternak Lainnya/kilogram
H;Unggas Kecil yang termasuk Satwa Liar Lainnya;ekor;30000;Unggas Kecil yang termasuk Satwa Liar Lainnya/ekor
H;Unggas Umur Sehari Lainnya;ekor;30000;Unggas Umur Sehari Lainnya/ekor
H;Vaksin;ampoule;20000;Vaksin/ampoule
H;Vaksin;botol;20000;Vaksin/botol
H;Vaksin;gram;20000;Vaksin/gram
H;Vaksin;kemasan;20000;Vaksin/kemasan
H;Vaksin;kilogram;50000;Vaksin/kilogram
H;Vaksin;liter;20000;Vaksin/liter
H;Vaksin;tube;20000;Vaksin/tube
H;Vaksin;vial;20000;Vaksin/vial
H;Vaksin (botol);ampoule;20000;Vaksin (botol)/ampoule
H;Vaksin (botol);box;20000;Vaksin (botol)/box
H;Vaksin (botol);kemasan;20000;Vaksin (botol)/kemasan
H;Vaksin (botol);kilogram;50000;Vaksin (botol)/kilogram
H;Vaksin (botol);liter;20000;Vaksin (botol)/liter
H;Vaksin (botol);vial;20000;Vaksin (botol)/vial
H;Vaksin (vial);botol;20000;Vaksin (vial)/botol
H;Vaksin (vial);box;20000;Vaksin (vial)/box
H;Vaksin (vial);kemasan;20000;Vaksin (vial)/kemasan
H;Vaksin (vial);kilogram;50000;Vaksin (vial)/kilogram
H;Vaksin (vial);liter;20000;Vaksin (vial)/liter
H;Vaksin (vial);tablet;20000;Vaksin (vial)/tablet
H;Vaksin (vial);vial;20000;Vaksin (vial)/vial
H;Whey;kilogram;50000;Whey/kilogram
H;Whey;ton;20000;Whey/ton
I;Udang Windu;kilogram;70000;Udang Windu/kilogram
I;Abalone;ekor;70000;Abalone/ekor
I;Abalone;kilogram;70000;Abalone/kilogram
I;Agar-agar;gram;70000;Agar-agar/gram
I;Agar-agar;kilogram;70000;Agar-agar/kilogram
I;Algae;kemasan;70000;Algae/kemasan
I;Algae;kilogram;70000;Algae/kilogram
I;Aligator Gar;ekor;70000;Aligator Gar/ekor
I;Aligator Gar;kilogram;70000;Aligator Gar/kilogram
I;American Flag tail;ekor;70000;American Flag tail/ekor
I;Anemon;ekor;70000;Anemon/ekor
I;Angel Fish;ekor;70000;Angel Fish/ekor
I;Angel Fish;kilogram;70000;Angel Fish/kilogram
I;Anthias;ekor;70000;Anthias/ekor
I;Anthias;kilogram;70000;Anthias/kilogram
I;Archer fish;ekor;70000;Archer fish/ekor
I;Arwana;ekor;70000;Arwana/ekor
I;Arwana Brazil;ekor;70000;Arwana Brazil/ekor
I;Arwana Jardini;ekor;70000;Arwana Jardini/ekor
I;Arwana Super Red;ekor;70000;Arwana Super Red/ekor
I;Arwana Super Red;kilogram;70000;Arwana Super Red/kilogram
I;Baby Clam;kilogram;70000;Baby Clam/kilogram
I;Bagian Tubuh Kepiting Tapal Kuda;gram;70000;Bagian Tubuh Kepiting Tapal Kuda/gram
I;Bahan Baku Pakan;kilogram;70000;Bahan Baku Pakan/kilogram
I;Bahan Biologi;kilogram;70000;Bahan Biologi/kilogram
I;Bahan Biologi;liter;70000;Bahan Biologi/liter
I;Bahan Kimia;kilogram;70000;Bahan Kimia/kilogram
I;Bahan Kimia;vial;70000;Bahan Kimia/vial
I;Bahan Obat;kilogram;70000;Bahan Obat/kilogram
I;Bala Shark;ekor;70000;Bala Shark/ekor
I;Bala Shark;kilogram;70000;Bala Shark/kilogram
I;Balong;ekor;70000;Balong/ekor
I;Banner fish;ekor;70000;Banner fish/ekor
I;Barbus;ekor;70000;Barbus/ekor
I;Barbus;kilogram;70000;Barbus/kilogram
I;Barilius Senegal;ekor;70000;Barilius Senegal/ekor
I;Barracuda;kilogram;70000;Barracuda/kilogram
I;Baslet;ekor;70000;Baslet/ekor
I;Baslet;kilogram;70000;Baslet/kilogram
I;Batfish;ekor;70000;Batfish/ekor
I;Batfish;kilogram;70000;Batfish/kilogram
I;Baung;kilogram;70000;Baung/kilogram
I;Bawal Hias;ekor;70000;Bawal Hias/ekor
I;Bawal Hias;kilogram;70000;Bawal Hias/kilogram
I;Belida;ekor;70000;Belida/ekor
I;Belly;ekor;70000;Belly/ekor
I;Belut;ekor;70000;Belut/ekor
I;Belut;kilogram;70000;Belut/kilogram
I;Benih Aligator Gar;ekor;70000;Benih Aligator Gar/ekor
I;Benih Angel Fish;ekor;70000;Benih Angel Fish/ekor
I;Benih Bala Shark;ekor;70000;Benih Bala Shark/ekor
I;Benih Bambit;ekor;70000;Benih Bambit/ekor
I;Benih Bandeng;ekor;70000;Benih Bandeng/ekor
I;Benih Barbus;ekor;70000;Benih Barbus/ekor
I;Benih Bawal;ekor;70000;Benih Bawal/ekor
I;Benih Bawal Air Tawar;ekor;70000;Benih Bawal Air Tawar/ekor
I;Benih Bawal Air Tawar;kilogram;70000;Benih Bawal Air Tawar/kilogram
I;Benih Bintang Laut;ekor;70000;Benih Bintang Laut/ekor
I;Benih Black Ghost;ekor;70000;Benih Black Ghost/ekor
I;Benih Buntal;ekor;70000;Benih Buntal/ekor
I;Benih Catfish;ekor;70000;Benih Catfish/ekor
I;Benih Cherax;ekor;70000;Benih Cherax/ekor
I;Benih Cichlid;ekor;70000;Benih Cichlid/ekor
I;Benih Clown Fish;ekor;70000;Benih Clown Fish/ekor
I;Benih Discus;ekor;70000;Benih Discus/ekor
I;Benih Dori;ekor;70000;Benih Dori/ekor
I;Benih Goby;ekor;70000;Benih Goby/ekor
I;Benih Gurame Hias;ekor;70000;Benih Gurame Hias/ekor
I;Benih Ikan Air Laut;ekor;70000;Benih Ikan Air Laut/ekor
I;Benih Ikan Air Tawar;ekor;70000;Benih Ikan Air Tawar/ekor
I;Benih Ikan Hias Air Laut;ekor;70000;Benih Ikan Hias Air Laut/ekor
I;Benih Ikan Hias Air Laut;kilogram;70000;Benih Ikan Hias Air Laut/kilogram
I;Benih Ikan Hias Air Tawar;ekor;70000;Benih Ikan Hias Air Tawar/ekor
I;Benih Ikan Mas;ekor;70000;Benih Ikan Mas/ekor
I;Benih Ikan Pedang;ekor;70000;Benih Ikan Pedang/ekor
I;Benih Ikan Rasbora;ekor;70000;Benih Ikan Rasbora/ekor
I;Benih Ikan Tang;ekor;70000;Benih Ikan Tang/ekor
I;Benih Ikan Wrasse;ekor;70000;Benih Ikan Wrasse/ekor
I;Benih Kakap;ekor;70000;Benih Kakap/ekor
I;Benih Kakap;kilogram;70000;Benih Kakap/kilogram
I;Benih Kerapu;ekor;70000;Benih Kerapu/ekor
I;Benih Kerapu;kilogram;70000;Benih Kerapu/kilogram
I;Benih Lain-lain;ekor;70000;Benih Lain-lain/ekor
I;Benih Lele;ekor;70000;Benih Lele/ekor
I;Benih Nila;ekor;70000;Benih Nila/ekor
I;Benih Nila;kilogram;70000;Benih Nila/kilogram
